,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,Price,year,City,Brand
117,2000 BMW R1150GS,gas,37000,yellow,clean,manual,like new,1150,dual-sport,6500,2000,corpuschristi,bmw
118,2000 Custom Harley Davidson Duece (FXSTD),gas,18567,custom,clean,manual,excellent,1450,cruiser,9500,2000,dallas,custom
119,2000 Excelsior Henderson Super-X  -Premium Dealer!,,,,,,,,,9995,2000,austin,excelsior
120,2000 Harley Davidson Dyna Low Rider,gas,6000,,clean,manual,good,,cruiser,8000,2000,houston,harley
121,2000 Harley Davidson FXD,gas,8574,red,clean,manual,excellent,88,cruiser,5500,2000,sanantonio,harley
122,2000 Harley-Davidson FLHTCUI - Electra Glide Ultra Classic,,,,,,,,,8590,2000,easttexas,harleydavidson
123,2000 Harley-Davidson® FLHRCI - Road King® Classic,,,,,,,,,7499,2000,dallas,harleydavidson
124,2000 Harley-Davidson® FLSTF - Fat Boy®,,,,,,,,,6990,2000,dallas,harleydavidson
125,2000 Harley-Davidson® FXDWG - Dyna® Wide Glide®,,,,,,,,,5899,2000,dallas,harleydavidson
126,2000 Honda Blackbird,,,,,,,,,4500,2000,dallas,honda
127,2000 Honda Shadow Spirit vt1100,,,,,,,,,1500,2000,houston,honda
128,2000 Honda gold wing,gas,3054,,clean,manual,excellent,,sport bike,9500,2000,dallas,honda
129,2000 KAWASAKI VULCAN 1500 NOMAD FI,gas,26266,red,clean,other,,,,4950,2000,austin,kawasaki
130,2000 Kawasaki Ninja $2000 OBO,gas,29300,red,clean,manual,good,250,sport bike,2000,2000,beaumont,kawasaki
131,2000 Kawasaki Ninja ZX12R,gas,37000,orange,clean,manual,excellent,1200,sport bike,4800,2000,dallas,kawasaki
132,2000 Nighthawk 750,gas,11600,,,manual,,,,3300,2000,austin,nighthawk
133,2000 SUZUKI INTRUDER 1500cc,gas,0,black,clean,manual,good,1500,cruiser,2999,2000,corpuschristi,suzuki
134,2000 Yamaha 1100 Custom,gas,60000,white,clean,manual,good,1100,cruiser,1250,2000,austin,yamaha
135,2000 Yamaha V Star Classic,gas,20595,red,clean,manual,excellent,650,cruiser,2500,2000,houston,yamaha
136,2000 Yamaha XV1600 Road Star,Unknown,13800,red,clean,other,,,,4499,2000,dallas,yamaha
137,2001 Ducati 996S - flawless showroom new example!,,,,,,,,,12995,2001,houston,ducati
138,2001 FLHRCI Road King,gas,30685,red,clean,manual,excellent,1450,touring,6995,2001,beaumont,flhrci
139,2001 Harley Davidson Road King Classic,other,49821,red,clean,other,,,,9900,2001,dallas,harley
140,2001 Harley-Davidson Sportster 883,gas,20000,white,clean,manual,excellent,883,cruiser,4000,2001,austin,harleydavidson
141,2001 Harley-Davidson Ultra Classic w/Sidecar SKU:M0232,Unknown,69134,blue,clean,other,,,,24980,2001,dallas,harleydavidson
142,2001 Harley-Davidson® FXDWG - Dyna® Wide Glide®,,,,,,,,,5990,2001,dallas,harleydavidson
143,2001 Harley-Davidson® FXDWG2 - Wide Glide® CVO,,,,,,,,,9950,2001,austin,harleydavidson
144,2001 Harley-Davidson® FXSTD - Softail® Deuce,,,,,,,,,7950,2001,corpuschristi,harleydavidson
145,2001 Harley-Davidson® FXSTS - Springer Softail®,,,,,,,,,9990,2001,dallas,harleydavidson
146,2001 Honda 750 ace bobber,gas,10000,black,salvage,manual,good,,bobber,3250,2001,dallas,honda
147,2001 Honda Shadow Spirit 750DC,,,,,,,,,3000,2001,dallas,honda
148,2001 Honda Valkyrie 1500 F6,gas,12690,black,,manual,excellent,,,6500,2001,amarillo,honda
