,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,Price,year,City,Brand
619,2014 Harley Street Glide Special,gas,49300,custom,clean,manual,excellent,103,touring,11900,2014,easttexas,harleydavidson
620,2014 Harley Ultra Classic - Extremely Clean - Very Low Miles!,,,,,,,,,15700,2014,beaumont,harleydavidson
621,2014 Harley Ultra Limited Nice Loaded Low Miles,gas,19359,brown,clean,manual,excellent,1688,touring,16700,2014,houston,harleydavidson
622,2014 Harley-Davidson Cvo Softail Deluxe FLSTNSE,gas,17653,,clean,manual,,,,22871,2014,corpuschristi,harleydavidson
623,2014 Harley-Davidson Dyna Switchback FLD103,gas,7846,,clean,manual,,,,13899,2014,corpuschristi,harleydavidson
624,"2014 Harley-Davidson Electra Glide® Ultra Classic® Only 5,400 Miles",gas,5344,,clean,other,,,,15699,2014,houston,harleydavidson
625,2014 Harley-Davidson ElectraGlide,gas,28652,silver,clean,manual,excellent,1690,touring,16700,2014,waco,harleydavidson
626,2014 Harley-Davidson Sportster 1200 Custom XL1200CP,gas,5119,,clean,manual,,,,14579,2014,corpuschristi,harleydavidson
627,"2014 Harley-Davidson Ultra Limited - Only 4,302 miles!!",,,,,,,,,17300,2014,beaumont,harleydavidson
628,2014 Harley-Davidson® FLD - Dyna® Switchback,,,,,,,,,11950,2014,austin,harleydavidson
629,2014 Harley-Davidson® FLHR - Road King®,,,,,,,,,12490,2014,austin,harleydavidson
630,2014 Harley-Davidson® FLHTCU - Electra Glide® Ultra Classic®,,,,,,,,,14990,2014,dallas,harleydavidson
631,2014 Harley-Davidson® FLHTKSE - Screamin' Eagle Limited CVO,,,,,,,,,24950,2014,dallas,honda
632,2014 Harley-Davidson® FLHX - Street Glide®,,,,,,,,,15960,2014,austin,honda
633,2014 Harley-Davidson® FLS - Softail Slim®,,,,,,,,,10996,2014,austin,honda
634,2014 Harley-Davidson® FLSTC - Heritage Softail® Classic,,,,,,,,,13450,2014,austin,honda
635,2014 Harley-Davidson® FXDB - Dyna® Street Bob®,,,,,,,,,11750,2014,dallas,honda
636,2014 Harley-Davidson® FXSBSE - Screamin' Eagle Breakout® CVO,,,,,,,,,19950,2014,corpuschristi,honda
637,2014 Harley-Davidson® XL1200T - Sportster® SuperLow® 1200T,,,,,,,,,7499,2014,dallas,honda
638,2014 Highball 1800CX,gas,5000,,,manual,,,,7000,2014,sanantonio,honda
639,2014 Honda 250 CRFL for sale,gas,1117,red,clean,manual,excellent,250,dirtbike,4800,2014,corpuschristi,ktm
640,2014 Honda CBR 800,gas,18000,,clean,manual,good,,,4000,2014,dallas,kawasaki
641,2014 Honda Forza NSS,gas,7701,red,clean,automatic,like new,280,scooter,4350,2014,dallas,kawasaki
642,2014 Honda Interceptor,Unknown,18450,white,clean,manual,,,,8995,2014,dallas,kawasaki
643,2014 Honda Interceptor DLX V4 782 cc,Unknown,18450,white,clean,manual,,,,8999,2014,dallas,polaris
644,2014 Honda Shadow Aero 750,,,,,,,,,4000,2014,waco,polaris
645,2014 Honda VFR 800 F,gas,18000,,clean,manual,good,,,4000,2014,dallas,suzuki
646,2014 Honda® CB1000R,gas,509,black,clean,other,,,,7950,2014,austin,suzuki
647,2014 Ice Bear Scooter,gas,14,,,automatic,,,,600,2014,austin,suzuki
648,2014 Iron883 Harley davidson,gas,54509,black,clean,manual,good,883,,3800,2014,dallas,suzuki
649,2014 Kawasaki Concours14 ABS,gas,16496,red,clean,other,,,,9860,2014,sanantonio,suzuki
650,2014 Kawasaki KLR 650,gas,3600,black,clean,manual,excellent,650,dual-sport,4750,2014,abilene,suzuki
651,2014 Kawasaki Ninja  300 ABS for $86/mo a month!,,,,,,,,,4195,2014,dallas,suzuki
652,2014 Kawasaki Vulcan,gas,18988,white,clean,other,,,,6500,2014,dallas,suzuki
653,2014 Kawasaki Vulcan 900 Custom V Twin 903 cc,,6599,green,clean,manual,,,,5499,2014,dallas,suzuki
654,2014 Kawasaki Vulcan® 1700 Nomad ABS,gas,18988,white,clean,other,,,,9660,2014,dallas,suzuki
655,2014 Kawasaki Vulcan® 900 Classic LT,,,,,,,,,5196,2014,austin,triumph
656,2014 Kawasaki Z 1000,gas,6651,,clean,manual,excellent,,standard,8750,2014,easttexas,triumph
657,2014 Suzuki Burgman 200 ABS,gas,13328,silver,clean,automatic,good,,scooter,2999,2014,waco,yamaha
658,2014 Suzuki GSX1300RAL4 GSX 1300 RAL 4 GSX-1300-RAL-4 HAYABUSA,gas,20297,,clean,manual,excellent,,sport bike,11999,2014,abilene,yamaha
659,2014 Suzuki GSXR GSX R GSX-R 750 for $206/mo a month!,gas,2585,,clean,manual,excellent,,sport bike,9995,2014,dallas,yamaha
660,2014 Suzuki GSXR1000 GSXR 1000 GSXR-1000 GSX R1000 GSX-R1000,gas,11553,,clean,manual,excellent,,sport bike,10999,2014,beaumont,yamaha
661,2014 Suzuki GSXR600 GSXR 600 GSXR-600 GSX R600 GSX-R600,gas,21931,,clean,manual,excellent,,sport bike,8990,2014,beaumont,yamaha
662,2014 Suzuki GSXR750 GSXR 750 GSXR-750 GSX R750 GSX-R750,gas,16257,,clean,manual,excellent,,sport bike,9699,2014,beaumont,yamaha
663,2014 Suzuki Gsxr 1000 Custom Fs/Ft,gas,8326,,salvage,manual,like new,999,,7500,2014,dallas,yamaha
664,2014 Suzuki Hayabusa,gas,10601,,,manual,,,,9500,2014,dallas,yamaha
665,2014 Suzuki RMZ 450 Supermoto **Excellent Condition**,gas,1234,black,missing,manual,excellent,450,dual-sport,6000,2014,beaumont,yamaha
666,2014 Suzuki V-Strom 1000 ABS V Twin 1037 cc,Unknown,11877,black,clean,manual,,,,8990,2014,easttexas,yamaha
667,2014 Suzuki vstrom,gas,15106,white,clean,manual,excellent,650,dual-sport,6200,2014,corpuschristi,yamaha
668,2014 TRIUMPH TIGER 800 XC,gas,11000,black,clean,manual,like new,800,dual-sport,8500,2014,austin,yamaha
669,2014 Triumph Bonneville T100,gas,6860,,,manual,,900,,7700,2014,dallas,yamaha
