,Unnamed: 0,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,Price,year,City,Brand
94,94,2000 BMW R1150GS,gas,37000,yellow,clean,manual,like new,1150,dual-sport,6500,2000,Corpus Christi,BMW
95,95,2000 Harley Davidson Dyna Low Rider,gas,6000,,clean,manual,good,,cruiser,8000,2000,Houston,Harley Davidson
96,96,2000 Harley Davidson FXD,gas,8574,red,clean,manual,excellent,88,cruiser,5500,2000,San Antonio,Harley Davidson
97,97,2000 Harley-Davidson FLHTCUI - Electra Glide Ultra Classic,,,,,,,,,8590,2000,East Texas,Harley Davidson
98,98,2000 Harley-Davidson® FLHRCI - Road King® Classic,,,,,,,,,7499,2000,Dallas,Harley Davidson
99,99,2000 Harley-Davidson® FLSTF - Fat Boy®,,,,,,,,,6990,2000,Dallas,Harley Davidson
100,100,2000 Harley-Davidson® FXDWG - Dyna® Wide Glide®,,,,,,,,,5899,2000,Dallas,Harley Davidson
101,101,2000 Honda Blackbird,,,,,,,,,4500,2000,Dallas,Honda
102,102,2000 Honda Shadow Spirit vt1100,,,,,,,,,1500,2000,Houston,Honda
103,103,2000 Honda gold wing,gas,3054,,clean,manual,excellent,,sport bike,9500,2000,Dallas,Honda
104,104,2000 KAWASAKI VULCAN 1500 NOMAD FI,gas,26266,red,clean,other,,,,4950,2000,Austin,Kawasaki
105,105,2000 Kawasaki Ninja $2000 OBO,gas,29300,red,clean,manual,good,250,sport bike,2000,2000,Beaumont,Kawasaki
106,106,2000 Kawasaki Ninja ZX12R,gas,37000,orange,clean,manual,excellent,1200,sport bike,4800,2000,Dallas,Kawasaki
107,107,2000 SUZUKI INTRUDER 1500cc,gas,0,black,clean,manual,good,1500,cruiser,2999,2000,Corpus Christi,Suzuki
108,108,2000 Yamaha 1100 Custom,gas,60000,white,clean,manual,good,1100,cruiser,1250,2000,Austin,Yamaha
109,109,2000 Yamaha V Star Classic,gas,20595,red,clean,manual,excellent,650,cruiser,2500,2000,Houston,Yamaha
110,110,2000 Yamaha XV1600 Road Star,Unknown,13800,red,clean,other,,,,4499,2000,Dallas,Yamaha
111,111,2001 Ducati 996S - flawless showroom new example!,,,,,,,,,12995,2001,Houston,Ducati
112,112,2001 Harley Davidson Road King Classic,other,49821,red,clean,other,,,,9900,2001,Dallas,Harley Davidson
113,113,2001 Harley-Davidson Sportster 883,gas,20000,white,clean,manual,excellent,883,cruiser,4000,2001,Austin,Harley Davidson
114,114,2001 Harley-Davidson Ultra Classic w/Sidecar SKU:M0232,Unknown,69134,blue,clean,other,,,,24980,2001,Dallas,Harley Davidson
115,115,2001 Harley-Davidson® FXDWG - Dyna® Wide Glide®,,,,,,,,,5990,2001,Dallas,Harley Davidson
116,116,2001 Harley-Davidson® FXDWG2 - Wide Glide® CVO,,,,,,,,,9950,2001,Austin,Harley Davidson
